Compound;Time;Labeling;Treatment;N;mean;sd;se
236;Histidine;60min;L;Fe;5;705267.8;162616.768557858;72724.4297553442
237;Histidine;60min;L;P;5;3174916.8;611696.032058162;273558.781849788
238;Histidine;60min;U;C;5;1106297.2;317262.432965518;141884.073363574
239;Histidine;60min;U;Fe;5;754341.6;228411.560889111;102148.755398977
240;Histidine;60min;U;P;5;2434045.6;859114.82253672;384207.828733955
241;Isoleucine;120min;L;C;5;47160776;9346867.98204778;4180046.43691503
242;Isoleucine;120min;L;Fe;5;20447588;4386470.84883965;1961689.39986533
243;Isoleucine;120min;L;P;5;134257036;60933887.0296937;27250462.7063376
244;Isoleucine;120min;U;C;5;60133438;18486351.2885864;8267347.627444
245;Isoleucine;120min;U;Fe;5;21263976;3616509.93250122;1617352.41007518
246;Isoleucine;120min;U;P;5;144530840;39860835.6812548;17826307.644647
247;Isoleucine;15min;L;C;5;72593098;22309017.7555662;9976896.04253918
248;Isoleucine;15min;L;Fe;4;26835075;4286473.91464126;2143236.95732063
249;Isoleucine;15min;L;P;5;161237800;27822275.0602822;12442499.6646976
250;Isoleucine;15min;U;C;5;65212530;16873055.53954;7545859.83490815
251;Isoleucine;15min;U;Fe;5;20441607.4;10419956.1205621;4659946.04162835
252;Isoleucine;15min;U;P;5;159804920;35184426.587867;15734953.9199643
253;Isoleucine;30min;L;C;5;53876354;22089120.5598204;9878555.02698932
254;Isoleucine;30min;L;Fe;5;25008272;3984261.25115058;1781815.79953821
255;Isoleucine;30min;L;P;5;146890340;39573882.6311369;17697978.3393641
256;Isoleucine;30min;U;C;5;64871586;12350366.4661127;5523251.79305235
257;Isoleucine;30min;U;Fe;5;23755446.4;10724295.2291857;4796050.62864717
258;Isoleucine;30min;U;P;5;149606220;38920295.4252277;17405685.2550366
259;Isoleucine;60min;L;C;5;51425350;16038061.2201164;7172439.02309668
260;Isoleucine;60min;L;Fe;5;27747582;4101059.16157278;1834049.413005
261;Isoleucine;60min;L;P;5;175430100;17163891.4458522;7675925.60627056
262;Isoleucine;60min;U;C;5;37634994;9632688.75722298;4307869.37344971
263;Isoleucine;60min;U;Fe;5;30681700;5426975.36362567;2427017.16505673
264;Isoleucine;60min;U;P;5;115971186;29088930.2428429;13008965.0831492
265;Leucine;120min;L;C;5;21085330;5025486.34577789;2247465.81783127
266;Leucine;120min;L;Fe;5;11012617.6;2315487.53192525;1035517.50448762
267;Leucine;120min;L;P;5;68941252;34933086.2862712;15622551.1199936
268;Leucine;120min;U;C;5;25944918;9282446.97981195;4151236.48887943
269;Leucine;120min;U;Fe;5;9735660;1537565.26343713;687620.08977756
270;Leucine;120min;U;P;5;64651224;17443726.6781336;7801071.72664667
271;Leucine;15min;L;C;5;34563402;14227255.8148917;6362622.22707541
272;Leucine;15min;L;Fe;4;10955707.25;2065713.47950151;1032856.73975076
273;Leucine;15min;L;P;5;73246254;20143257.6218416;9008338.66614572
