"metabolite";"derivative";"isotopologue";"sample";"area"
"333";"Isocitrate";"2NPH";1;"022_O5.cdf";21442.394265233
"334";"Isocitrate";"2NPH";2;"022_O5.cdf";3662.89605734767
"335";"Isocitrate";"2NPH";3;"022_O5.cdf";481.197132616487
"336";"Isocitrate";"2NPH";4;"022_O5.cdf";272.387096774194
"337";"Isocitrate";"2NPH";5;"022_O5.cdf";302.437275985663
"338";"Isocitrate";"2NPH";6;"022_O5.cdf";0
"339";"Citrate";"2NPH";0;"022_O5.cdf";5663305.8781362
"340";"Citrate";"2NPH";1;"022_O5.cdf";1104672.28673835
"341";"Citrate";"2NPH";2;"022_O5.cdf";180337.132616487
"342";"Citrate";"2NPH";3;"022_O5.cdf";22945.3405017921
"343";"Citrate";"2NPH";4;"022_O5.cdf";0
"344";"Citrate";"2NPH";5;"022_O5.cdf";0
"345";"Citrate";"2NPH";6;"022_O5.cdf";0
"346";"Oxaloacetate";"2NPH";0;"022_O5.cdf";13613.3046594982
"347";"Oxaloacetate";"2NPH";1;"022_O5.cdf";4239.71326164875
"348";"Oxaloacetate";"2NPH";2;"022_O5.cdf";933.569892473118
"349";"Oxaloacetate";"2NPH";3;"022_O5.cdf";0
"350";"Oxaloacetate";"2NPH";4;"022_O5.cdf";244.94623655914
"351";"Oxoglutarate";"3NPH";0;"022_O5.cdf";18249084.8028674
"352";"Oxoglutarate";"3NPH";1;"022_O5.cdf";5340958.19354839
"353";"Oxoglutarate";"3NPH";2;"022_O5.cdf";955492.286738351
"354";"Oxoglutarate";"3NPH";3;"022_O5.cdf";134540.523297491
"355";"Oxoglutarate";"3NPH";4;"022_O5.cdf";8592.3870967742
"356";"Oxoglutarate";"3NPH";5;"022_O5.cdf";0
"357";"Aconitate";"3NPH";0;"022_O5.cdf";10263.247311828
"358";"Aconitate";"3NPH";1;"022_O5.cdf";3389.54121863799
"359";"Aconitate";"3NPH";2;"022_O5.cdf";473.297491039427
"360";"Aconitate";"3NPH";3;"022_O5.cdf";54.1935483870968
