metabolite	derivative	isotopologue	sample	area
Lactate	NPH	3	022_O5.cdf	0
Pyruvate	2NPH	0	022_O5.cdf	453958.817204301
Pyruvate	2NPH	1	022_O5.cdf	70717.2759856631
Pyruvate	2NPH	2	022_O5.cdf	9468.16487455197
Pyruvate	2NPH	3	022_O5.cdf	1417.10394265233
Fumarate	2NPH	0	022_O5.cdf	834646.265232975
Fumarate	2NPH	1	022_O5.cdf	142712.286738351
Fumarate	2NPH	2	022_O5.cdf	19393.0035842294
Fumarate	2NPH	3	022_O5.cdf	1898.20071684588
Fumarate	2NPH	4	022_O5.cdf	0
Succinate	2NPH	0	022_O5.cdf	2480578.99641577
Succinate	2NPH	1	022_O5.cdf	433444.35125448
Succinate	2NPH	2	022_O5.cdf	58997.7634408602
Succinate	2NPH	3	022_O5.cdf	7606.37992831541
Succinate	2NPH	4	022_O5.cdf	0
Malate	2NPH	0	022_O5.cdf	19102497.8637993
Malate	2NPH	1	022_O5.cdf	5012481.1469534
Malate	2NPH	2	022_O5.cdf	734101.268817204
Malate	2NPH	3	022_O5.cdf	82674.1577060932
Malate	2NPH	4	022_O5.cdf	0
Isocitrate	2NPH	0	022_O5.cdf	108208.53046595
Isocitrate	2NPH	1	022_O5.cdf	21442.394265233
Isocitrate	2NPH	2	022_O5.cdf	3662.89605734767
Isocitrate	2NPH	3	022_O5.cdf	481.197132616487
Isocitrate	2NPH	4	022_O5.cdf	272.387096774194
Isocitrate	2NPH	5	022_O5.cdf	302.437275985663
Isocitrate	2NPH	6	022_O5.cdf	0
Citrate	2NPH	0	022_O5.cdf	5663305.8781362
Citrate	2NPH	1	022_O5.cdf	1104672.28673835
Citrate	2NPH	2	022_O5.cdf	180337.132616487
Citrate	2NPH	3	022_O5.cdf	22945.3405017921
Citrate	2NPH	4	022_O5.cdf	0
Citrate	2NPH	5	022_O5.cdf	0
Citrate	2NPH	6	022_O5.cdf	0
Oxaloacetate	2NPH	0	022_O5.cdf	13613.3046594982
Oxaloacetate	2NPH	1	022_O5.cdf	4239.71326164875
Oxaloacetate	2NPH	2	022_O5.cdf	933.569892473118
