metabolite	derivative	isotopologue	sample	area
Tyrosine	AccQ	2	020_A3.cdf	16197.6085458305
Tyrosine	AccQ	3	020_A3.cdf	2487.8911095796
Tyrosine	AccQ	4	020_A3.cdf	0
Tyrosine	AccQ	5	020_A3.cdf	0
Tyrosine	AccQ	6	020_A3.cdf	0
Tyrosine	AccQ	7	020_A3.cdf	0
Tyrosine	AccQ	8	020_A3.cdf	0
Tyrosine	AccQ	9	020_A3.cdf	0
Valine	AccQ	0	020_A3.cdf	2118206.84355617
Valine	AccQ	1	020_A3.cdf	411644.307374225
Valine	AccQ	2	020_A3.cdf	60840.4686423156
Valine	AccQ	3	020_A3.cdf	7781.65403170227
Valine	AccQ	4	020_A3.cdf	0
Valine	AccQ	5	020_A3.cdf	0
GABA	AccQ	0	020_A3.cdf	3009356.25775327
GABA	AccQ	1	020_A3.cdf	662060.117160579
GABA	AccQ	2	020_A3.cdf	90366.1819434873
GABA	AccQ	3	020_A3.cdf	10529.8070296347
GABA	AccQ	4	020_A3.cdf	0
Glutamate	AccQ	0	020_A3.cdf	2918144.9827705
Glutamate	AccQ	1	020_A3.cdf	650219.324603722
Glutamate	AccQ	2	020_A3.cdf	104085.361819435
Glutamate	AccQ	3	020_A3.cdf	13671.8125430737
Glutamate	AccQ	4	020_A3.cdf	310.992419021365
Glutamate	AccQ	5	020_A3.cdf	0
Ornithine	2AccQ	0	020_A3.cdf	14561.3507925569
Ornithine	2AccQ	1	020_A3.cdf	5880.33080634046
Ornithine	2AccQ	2	020_A3.cdf	1037.64989662302
Ornithine	2AccQ	3	020_A3.cdf	279.875947622329
Ornithine	2AccQ	4	020_A3.cdf	0
Ornithine	2AccQ	5	020_A3.cdf	0
Alanine	AccQ	0	021_A4.cdf	610776.021569802
Alanine	AccQ	1	021_A4.cdf	108141.30617136
Alanine	AccQ	2	021_A4.cdf	13079.5686039545
Alanine	AccQ	3	021_A4.cdf	2002.19892150989
Arginine	AccQ	0	021_A4.cdf	111053.22947873
Arginine	AccQ	1	021_A4.cdf	25389.2570401438
Arginine	AccQ	2	021_A4.cdf	3106.69263031756
Arginine	AccQ	3	021_A4.cdf	0
Arginine	AccQ	4	021_A4.cdf	0
Arginine	AccQ	5	021_A4.cdf	0
Arginine	AccQ	6	021_A4.cdf	0
Asparagine	AccQ	0	021_A4.cdf	639302.37267825
Asparagine	AccQ	1	021_A4.cdf	113145.422408628
Asparagine	AccQ	2	021_A4.cdf	19287.7831036549
Asparagine	AccQ	3	021_A4.cdf	2643.97243858598
Asparagine	AccQ	4	021_A4.cdf	114.94907130018
Aspartate	AccQ	0	021_A4.cdf	1668385.14080288
Aspartate	AccQ	1	021_A4.cdf	291991.03055722
Aspartate	AccQ	2	021_A4.cdf	50701.144397843
Aspartate	AccQ	3	021_A4.cdf	6371.6237267825
Aspartate	AccQ	4	021_A4.cdf	0
Citrulline	AccQ	0	021_A4.cdf	54215.8957459557
Citrulline	AccQ	1	021_A4.cdf	11349.5206710605
Citrulline	AccQ	2	021_A4.cdf	3231.18034751348
Citrulline	AccQ	3	021_A4.cdf	446.201318154584
Citrulline	AccQ	4	021_A4.cdf	0
Citrulline	AccQ	5	021_A4.cdf	0
Citrulline	AccQ	6	021_A4.cdf	0
Glutamine	AccQ	0	021_A4.cdf	2006330.82684242
Glutamine	AccQ	1	021_A4.cdf	408616.87237867
Glutamine	AccQ	2	021_A4.cdf	62987.1060515279
Glutamine	AccQ	3	021_A4.cdf	7884.5116836429
Glutamine	AccQ	4	021_A4.cdf	689.083283403235
Glutamine	AccQ	5	021_A4.cdf	0
Glycine	AccQ	0	021_A4.cdf	193793.223487118
Glycine	AccQ	1	021_A4.cdf	33670.1737567406
Glycine	AccQ	2	021_A4.cdf	3506.35710005992
Histidine	AccQ	0	021_A4.cdf	52863.3013780707
Histidine	AccQ	1	021_A4.cdf	9790
Histidine	AccQ	2	021_A4.cdf	706.099460754943
Histidine	AccQ	3	021_A4.cdf	0
Histidine	AccQ	4	021_A4.cdf	0
Histidine	AccQ	5	021_A4.cdf	0
Histidine	AccQ	6	021_A4.cdf	0
Isoleucine	AccQ	0	021_A4.cdf	2503547.57938886
Isoleucine	AccQ	1	021_A4.cdf	491070.065907729
Isoleucine	AccQ	2	021_A4.cdf	75051.144397843
Isoleucine	AccQ	3	021_A4.cdf	8729.26902336729
Isoleucine	AccQ	4	021_A4.cdf	411.749550629119
Isoleucine	AccQ	5	021_A4.cdf	0
Isoleucine	AccQ	6	021_A4.cdf	0
Leucine	AccQ	0	021_A4.cdf	1350757.72917915
Leucine	AccQ	1	021_A4.cdf	246436.111443978
Leucine	AccQ	2	021_A4.cdf	37839.1431995207
Leucine	AccQ	3	021_A4.cdf	4560.77291791492
Leucine	AccQ	4	021_A4.cdf	0
Leucine	AccQ	5	021_A4.cdf	0
Leucine	AccQ	6	021_A4.cdf	0
Lysine	AccQ	0	021_A4.cdf	169350.131815458
Lysine	AccQ	1	021_A4.cdf	57519.5985620132
Lysine	AccQ	2	021_A4.cdf	9412.95386458958
Lysine	AccQ	3	021_A4.cdf	1503.64289994008
Lysine	AccQ	4	021_A4.cdf	0
Lysine	AccQ	5	021_A4.cdf	0
Lysine	AccQ	6	021_A4.cdf	0
Methionine	AccQ	0	021_A4.cdf	197202.744158179
Methionine	AccQ	1	021_A4.cdf	45453.4152186938
