"metabolite";"derivative";"isotopologue";"sample";"area"
"378";"Phenylalanine";"AccQ";6;"020_A3.cdf";0
"379";"Phenylalanine";"AccQ";7;"020_A3.cdf";0
"380";"Phenylalanine";"AccQ";8;"020_A3.cdf";0
"381";"Phenylalanine";"AccQ";9;"020_A3.cdf";0
"382";"Proline";"AccQ";0;"020_A3.cdf";592647.973811165
"383";"Proline";"AccQ";1;"020_A3.cdf";118596.16815989
"384";"Proline";"AccQ";2;"020_A3.cdf";16323.2115782219
"385";"Proline";"AccQ";3;"020_A3.cdf";3312.66023432116
"386";"Proline";"AccQ";4;"020_A3.cdf";0
"387";"Proline";"AccQ";5;"020_A3.cdf";0
"388";"Serine";"AccQ";0;"020_A3.cdf";1064491.36457615
"389";"Serine";"AccQ";1;"020_A3.cdf";166782.736044108
"390";"Serine";"AccQ";2;"020_A3.cdf";24743.7008959338
"391";"Serine";"AccQ";3;"020_A3.cdf";1993.95589248794
"392";"Threonine";"AccQ";0;"020_A3.cdf";1386653.43900758
"393";"Threonine";"AccQ";1;"020_A3.cdf";220555.913163336
"394";"Threonine";"AccQ";2;"020_A3.cdf";35862.9359062715
"395";"Threonine";"AccQ";3;"020_A3.cdf";5749.68986905582
"396";"Threonine";"AccQ";4;"020_A3.cdf";0
"397";"Tryptophan";"AccQ";0;"020_A3.cdf";425320.971743625
"398";"Tryptophan";"AccQ";1;"020_A3.cdf";122355.968297726
"399";"Tryptophan";"AccQ";2;"020_A3.cdf";18368.3735354928
"400";"Tryptophan";"AccQ";3;"020_A3.cdf";2638.7250172295
"401";"Tryptophan";"AccQ";4;"020_A3.cdf";0
"402";"Tryptophan";"AccQ";5;"020_A3.cdf";0
"403";"Tryptophan";"AccQ";6;"020_A3.cdf";0
"404";"Tryptophan";"AccQ";7;"020_A3.cdf";0
"405";"Tryptophan";"AccQ";8;"020_A3.cdf";0
"406";"Tryptophan";"AccQ";9;"020_A3.cdf";0
"407";"Tryptophan";"AccQ";10;"020_A3.cdf";0
"408";"Tryptophan";"AccQ";11;"020_A3.cdf";0
"409";"Tyrosine";"AccQ";0;"020_A3.cdf";424371.743625086
"410";"Tyrosine";"AccQ";1;"020_A3.cdf";107547.698139214
"411";"Tyrosine";"AccQ";2;"020_A3.cdf";16197.6085458305
"412";"Tyrosine";"AccQ";3;"020_A3.cdf";2487.8911095796
"413";"Tyrosine";"AccQ";4;"020_A3.cdf";0
"414";"Tyrosine";"AccQ";5;"020_A3.cdf";0
"415";"Tyrosine";"AccQ";6;"020_A3.cdf";0
"416";"Tyrosine";"AccQ";7;"020_A3.cdf";0
