Compound;Time;Labeling;Treatment;N;mean;sd;se
295;Lysine;15min;L;C;5;0.9616025502;0.0163704580646083;0.00732109141105474
296;Lysine;15min;L;Fe;4;0.9556256975;0.0143628457117208;0.00718142285586041
297;Lysine;15min;L;P;5;0.9767864224;0.00624760596260415;0.00279401432580318
298;Lysine;15min;U;C;5;0.9695925252;0.0144423226471365;0.00645880303839639
299;Lysine;15min;U;Fe;5;0.8912896924;0.0672560026838556;0.0300777987792019
300;Lysine;15min;U;P;5;0.9679164734;0.00443726825579738;0.00198440669087297
301;Lysine;30min;L;C;5;0.9694137844;0.017563410240876;0.00785459584306296
302;Lysine;30min;L;Fe;5;0.9387519456;0.0175374136928156;0.00784296983333424
303;Lysine;30min;L;P;5;0.9754275878;0.00666966087440514;0.00298276302040811
304;Lysine;30min;U;C;5;0.9717371912;0.0111700111030504;0.00499538082716961
305;Lysine;30min;U;Fe;5;0.9316785258;0.0536212966817179;0.023980172884401
306;Lysine;30min;U;P;5;0.9753263148;0.0100426393622473;0.0044912048575
307;Lysine;60min;L;C;5;0.9633379378;0.0131134356943862;0.00586450672624393
308;Lysine;60min;L;Fe;5;0.9498301868;0.0155780670365593;0.00696672337035907
309;Lysine;60min;L;P;5;0.9751879578;0.00994450806562435;0.0044473192075062
310;Lysine;60min;U;C;5;0.9565192108;0.0226246881579535;0.0101180681381837
311;Lysine;60min;U;Fe;5;0.9408571526;0.0166508176950916;0.00744647204943622
312;Lysine;60min;U;P;5;0.9729366528;0.00923257112402726;0.00412893132808532
313;Methionine;120min;L;C;5;0.9557407288;0.0160139304279933;0.00716164740478906
314;Methionine;120min;L;Fe;5;0.95505733;0.0122348882371937;0.00547160835909554
315;Methionine;120min;L;P;5;0.9481138476;0.0239128609986062;0.0106941565458774
316;Methionine;120min;U;C;5;0.9452963898;0.00751183129430095;0.00335939308191343
317;Methionine;120min;U;Fe;5;0.9513899874;0.0158611571005581;0.00709332509573029
318;Methionine;120min;U;P;5;0.9458186162;0.00597907100556613;0.00267392184214878
319;Methionine;15min;L;C;5;0.9433915414;0.0105546702910517;0.00472019205017783
320;Methionine;15min;L;Fe;4;0.9530750705;0.00605993306297301;0.00302996653148651
321;Methionine;15min;L;P;5;0.9421902552;0.0063294250713478;0.00283060494360503
322;Methionine;15min;U;C;5;0.946033064;0.00585498258503095;0.00261842781344133
323;Methionine;15min;U;Fe;5;0.947550007;0.00778957631226398;0.00348360443002888
324;Methionine;15min;U;P;5;0.9485399406;0.0146338548456995;0.00654445884156975
325;Methionine;30min;L;C;5;0.946690703;0.0105919862905613;0.0047368802724882
326;Methionine;30min;L;Fe;5;0.954189976;0.00821027390974622;0.0036717461152171
327;Methionine;30min;L;P;5;0.9415843706;0.00631642052420798;0.00282478913332078
328;Methionine;30min;U;C;5;0.9418522898;0.00491732598984699;0.00219909503616486
329;Methionine;30min;U;Fe;5;0.944852306;0.00838757322918442;0.00375103678134276
