Compound;Time;Labeling;Treatment;N;mean;sd;se
281;Leucine;30min;U;Fe;5;0.0325812688;0.0121080235547635;0.00541487274832398
282;Leucine;30min;U;P;5;0.0275824956;0.00843517837749086;0.00377232645088119
283;Leucine;60min;L;C;5;0.022998013;0.0109833830665874;0.00491191823196192
284;Leucine;60min;L;Fe;5;0.0296114714;0.00645483830503401;0.00288669144676511
285;Leucine;60min;L;P;5;0.0230118404;0.00676176966582157;0.00302395532419462
286;Leucine;60min;U;C;5;0.0224614552;0.00959798417385912;0.00429234901194323
287;Leucine;60min;U;Fe;5;0.0253983548;0.00899436742888207;0.00402240339711806
288;Leucine;60min;U;P;5;0.0243174758;0.00536831462354217;0.0024007832845693
289;Lysine;120min;L;C;5;0.0439346144;0.0112593056697061;0.00503531457138231
290;Lysine;120min;L;Fe;5;0.0482376322;0.0186511566778519;0.00834105083813521
291;Lysine;120min;L;P;5;0.0342428294;0.0161257621663487;0.00721166007859001
292;Lysine;120min;U;C;5;0.028972103;0.0121563259010331;0.00543647421427027
293;Lysine;120min;U;Fe;5;0.0476245066;0.013227942648814;0.00591571579304335
294;Lysine;120min;U;P;5;0.0246840896;0.00632437958601647;0.00282834853396896
295;Lysine;15min;L;C;5;0.0383974498;0.0163704580646083;0.00732109141105475
296;Lysine;15min;L;Fe;4;0.04437430275;0.0143628455982984;0.0071814227991492
297;Lysine;15min;L;P;5;0.0232135778;0.00624760636838395;0.00279401450727342
298;Lysine;15min;U;C;5;0.030407475;0.0144423228213009;0.00645880311628508
299;Lysine;15min;U;Fe;5;0.1087103076;0.0672560026838556;0.0300777987792019
300;Lysine;15min;U;P;5;0.0320835268;0.00443726817715762;0.0019844066557042
301;Lysine;30min;L;C;5;0.0305862158;0.0175634100154207;0.00785459574223627
302;Lysine;30min;L;Fe;5;0.0612480544;0.0175374136928155;0.00784296983333424
303;Lysine;30min;L;P;5;0.0245724122;0.00666966087440514;0.00298276302040812
304;Lysine;30min;U;C;5;0.028262809;0.0111700110479455;0.00499538080252594
305;Lysine;30min;U;Fe;5;0.0683214742;0.0536212966817179;0.023980172884401
306;Lysine;30min;U;P;5;0.0246736852;0.0100426393622473;0.0044912048575
307;Lysine;60min;L;C;5;0.0366620624;0.0131134353418989;0.00586450656860682
308;Lysine;60min;L;Fe;5;0.0501698132;0.0155780670365593;0.00696672337035908
309;Lysine;60min;L;P;5;0.0248120424;0.00994450809050143;0.00444731921863156
310;Lysine;60min;U;C;5;0.0434807892;0.0226246881579534;0.0101180681381837
311;Lysine;60min;U;Fe;5;0.0591428476;0.0166508175563275;0.00744647198737903
312;Lysine;60min;U;P;5;0.0270633474;0.00923257128350482;0.00412893139940585
313;Methionine;120min;L;C;5;0.0442592714;0.0160139306432766;0.00716164750106668
314;Methionine;120min;L;Fe;5;0.04494267;0.0122348882371937;0.00547160835909553
315;Methionine;120min;L;P;5;0.0518861526;0.0239128611417394;0.0106941566098885
316;Methionine;120min;U;C;5;0.0547036102;0.00751183129430093;0.00335939308191342
317;Methionine;120min;U;Fe;5;0.0486100128;0.0158611573522789;0.00709332520830324
318;Methionine;120min;U;P;5;0.054181384;0.00597907095292082;0.00267392181860508
319;Methionine;15min;L;C;5;0.0566084586;0.0105546702910517;0.00472019205017784
320;Methionine;15min;L;Fe;4;0.04692492975;0.00605993310861423;0.00302996655430712
321;Methionine;15min;L;P;5;0.057809745;0.00632942494266221;0.00283060488605508
322;Methionine;15min;U;C;5;0.0539669362;0.00585498234058282;0.0026184277041208
323;Methionine;15min;U;Fe;5;0.052449993;0.00778957631226397;0.00348360443002887
